Promoter Name,Registration Number,PAN,GSTIN,District,Taluk
M/s. Emerald Haven Realty Limited,U45200TN2010PLC075953,AAFPI8781B,,,Bengaluru South
SUMADHURA HOMES LLP,AAQ6759,AKEPK9141Q,,Bengaluru Urban,Bengaluru East
Sattva Resi Private Limited,U45309KA2022PTC160813,AFAPM5513P,,,Bengaluru North
Brigade Enterprises Ltd,L85110KA1995PLC019126,AKSPS6890E,,,Bengaluru North
SHUBANKARA DEVELOPERS,SJN-F1025-2022-23,AMGPK6817M,,,Bengaluru East
PRESTIGE ESTATES PROJECTS LTD,U07010KA1997PLC022322,AACPI7226E,,,Bengaluru North
BREN CORPORATION PRIVATE LIMITED,U45203KA2012PTC064294,AGAPB1359F,,Bengaluru Urban,Bengaluru North
Sattva Resi Private Limited,U45309KA2022PTC160813,AFAPM5513P,,,Bengaluru North
SHANKARA VIJAYA CONSTRUCTIONS LLP,ACF-8119,ARPPG8613F,,,Bengaluru South
Millennial Luxury Estates Private Limited,U70200KA2022PTC160419,ADJPA2420L,,,Bengaluru North
